Product,Business Location,Unit Purchase Price,Selling Price,Current stock,Product Type,Category,Brand,Tax,SKU
Copy T474,BEST PRICE SHOP,KSh 750,KSh 780,2 pieces,Single,,,,17797
Copy T485,BEST PRICE SHOP,"KSh 1,150","KSh 1,180",2 pieces,Single,,,,17740
Copy T529,BEST PRICE SHOP,"KSh 1,150","KSh 1,180",8 pieces,Single,,,,17717
Copy T529 MINI,BEST PRICE SHOP,KSh 740,KSh 770,25 pieces,Single,,,,17798
corei9,BEST PRICE SHOP,KSh 200,"KSh 6,000,000",0 pieces,Single,,,,18066
Cortina,BEST PRICE SHOP,"KSh 11,500","KSh 12,500",8 pieces,Single,,,,17478
Ct301 Calus,BEST PRICE SHOP,KSh 830,KSh 870,0 pieces,Single,FEATURE PHONES,CALUS,,27581
CT5081 Calus,BEST PRICE SHOP,KSh 850,KSh 890,14 pieces,Single,FEATURE PHONES,CALUS,,28357
Ctc 810,BEST PRICE SHOP,KSh 0,"KSh 4,100",0 pieces,Single,,,,17059
D-Jack 503 Woofer,BEST PRICE SHOP,"KSh 3,930","KSh 4,000",0 pieces,Single,,,,17899
D-Jack Ak-1703,BEST PRICE SHOP,"KSh 3,823","KSh 4,000",0 pieces,Single,,,,16958
D-Jack AK-2103,BEST PRICE SHOP,"KSh 3,725","KSh 4,000",0 pieces,Single,,,,17304
D-Jack Ak-403,BEST PRICE SHOP,"KSh 3,725","KSh 4,000",0 pieces,Single,,,,17567
D-Jack AK-703,BEST PRICE SHOP,"KSh 3,725","KSh 4,000",12 pieces,Single,,,,17496
D-Jack Ak-Pk04,BEST PRICE SHOP,"KSh 3,725","KSh 4,000",7 pieces,Single,,,,17305
D/ Socket,BEST PRICE SHOP,KSh 230,KSh 230,-12 pieces,Single,,,,18095
D301 Calus.,BEST PRICE SHOP,KSh 770,KSh 810,1 pieces,Single,FEATURE PHONES,CALUS,,18658
D351 Calus,BEST PRICE SHOP,KSh 800,KSh 840,3 pieces,Single,FEATURE PHONES,CALUS,,18657
D6320 Bundy,BEST PRICE SHOP,"KSh 1,300","KSh 1,350",0 pieces,Single,,,,18651
Dc Bulb Complete,BEST PRICE SHOP,KSh 63,KSh 90,106 pieces,Single,,,,18793
Dc Bulbs,BEST PRICE SHOP,KSh 35,KSh 50,0 pieces,Single,,,,18118
Dc Charger SunAfrica,BEST PRICE SHOP,KSh 0,KSh 130,0 pieces,Single,,,,17158
Dc Tube,BEST PRICE SHOP,KSh 0,KSh 150,0 pieces,Single,,,,17106
Demula reant,BEST PRICE SHOP,KSh 0,"KSh 15,000",0 pieces,Single,,,,18016
DeskTop Core 2 2Gb,BEST PRICE SHOP,"KSh 5,900","KSh 6,400",2 pieces,Single,,,,18133
Dispenser K1 H/N,BEST PRICE SHOP,"KSh 1,800","KSh 2,100",1 pieces,Single,,,,17837
Dispenser K3C H/N,BEST PRICE SHOP,"KSh 3,000","KSh 3,400",1 pieces,Single,,,,17836
Dj 1 Pro Sowhat,BEST PRICE SHOP,"KSh 6,050","KSh 6,250",5 pieces,Single,FEATURE PHONES,SOWHAT,,24442
Dj 1 Sowhat,BEST PRICE SHOP,"KSh 5,750","KSh 5,950",5 pieces,Single,FEATURE PHONES,SOWHAT,,24443
Dp 392,BEST PRICE SHOP,"KSh 1,350","KSh 1,400",2 pieces,Single,,,,17664
Dp-7164,BEST PRICE SHOP,KSh 450,KSh 480,4 pieces,Single,,,,17712
Dp720,BEST PRICE SHOP,KSh 620,KSh 670,5 pieces,Single,,,,17568
Dr Lee NoN Receiver,BEST PRICE SHOP,KSh 32,KSh 50,"3,700 pieces",Single,,,,18236
Dr Lee Receiver,BEST PRICE SHOP,KSh 38,KSh 50,74 pieces,Single,ACCESSORIES,,,17060
Dstv Cable,BEST PRICE SHOP,KSh 0,KSh 300,-12 pieces,Single,SATELITE,DSTV,,16913
Dstv Complete,BEST PRICE SHOP,"KSh 2,750","KSh 4,000",0 pieces,Single,SATELITE,DSTV,,17021
Dstv Complete No Package,BEST PRICE SHOP,"KSh 2,400","KSh 2,600",13 pieces,Single,SATELITE,DSTV,,24213
Dstv Decorder,BEST PRICE SHOP,"KSh 2,200","KSh 2,500",0 Pieces,Single,SATELITE,DSTV,,18782
Dstv Decorder No Package,BEST PRICE SHOP,"KSh 1,000","KSh 1,400",4 pieces,Single,SATELITE,DSTV,,24211
Dstv Dish,BEST PRICE SHOP,KSh 800,"KSh 2,000",0 pieces,Single,SATELITE,DSTV,,16939
Dstv Remote New,BEST PRICE SHOP,KSh 200,KSh 300,4 pieces,Single,SATELITE,DSTV,,17192
DV09 Radio,BEST PRICE SHOP,KSh 550,KSh 550,0 pieces,Single,,,,18114
Dvd Nunix Not for selling,BEST PRICE SHOP,KSh 0,"KSh 1,600",0 pieces,Single,,,,16896
Dvd Vitrone Not for selling,BEST PRICE SHOP,"KSh 1,300","KSh 1,400",0 pieces,Single,,,,17596
E02 Flame Earphones.,BEST PRICE SHOP,KSh 128,KSh 150,320 pieces,Single,,,,18404
E1190 Flip Calus,BEST PRICE SHOP,"KSh 1,350","KSh 1,400",0 pieces,Single,FEATURE PHONES,CALUS,,23899
E1205 Momofly,BEST PRICE SHOP,KSh 720,KSh 750,36 pieces,Single,,,,18342
E1272 Kgtel Flap,BEST PRICE SHOP,"KSh 1,550","KSh 1,650",23 pieces,Single,FEATURE PHONES,KGTEL,,17296
E27 Calus Cctv,BEST PRICE SHOP,"KSh 1,200","KSh 1,300",0 pieces,Single,,,,18577
E27-3 CCTV Camera,BEST PRICE SHOP,"KSh 1,300","KSh 1,400",0 pieces,Single,,,,18578
E27L Cctv Calus.,BEST PRICE SHOP,"KSh 1,150","KSh 1,250",0 pieces,Single,,,,18613
E40 Lite Hisense,BEST PRICE SHOP,KSh 0,"KSh 8,100",2 pieces,Single,,,,17398
E94D Oraimo Wireles,BEST PRICE SHOP,"KSh 2,000","KSh 2,200",0 pieces,Single,,,,17977
Earphone Galactic.,BEST PRICE SHOP,KSh 45,KSh 60,907 pieces,Single,,GALACTIC,,18192
Earphone R31,BEST PRICE SHOP,KSh 0,KSh 60,13 pieces,Single,,,,17231
EB E100D TWS Wireless.,BEST PRICE SHOP,"KSh 2,240","KSh 2,440",5 pieces,Single,,,,17979
EB-E75D Wireless,BEST PRICE SHOP,"KSh 1,700","KSh 1,900",7 pieces,Single,,,,17978
Emily Shop,BEST PRICE SHOP,"KSh 10,000","KSh 12,500",0 pieces,Single,,,,18300
ER E-2031,BEST PRICE SHOP,"KSh 3,820","KSh 4,200",10 pieces,Single,,,,17303
ES500 Samhe,BEST PRICE SHOP,KSh 850,KSh 890,0 pieces,Single,FEATURE PHONES,SAMHE,,29560
Euroken Ek-501,BEST PRICE SHOP,"KSh 3,500","KSh 3,750",2 pieces,Single,,,,17142
Everready AAA,BEST PRICE SHOP,KSh 0,KSh 40,0 pieces,Single,,,,17061
Explore 200.,BEST PRICE SHOP,"KSh 1,200","KSh 1,250",0 pieces,Single,,,,18708
Explorer 100,BEST PRICE SHOP,KSh 910,KSh 950,0 pieces,Single,,,,18261
Extension 195 powerking,BEST PRICE SHOP,KSh 305,KSh 350,39 pieces,Single,EXTENSIONS,POWERKING,,17270
Extension Powerking Sundabest,BEST PRICE SHOP,KSh 244,KSh 260,51 pieces,Single,,,,17006
F- Connector,BEST PRICE SHOP,KSh 0,KSh 10,-1 pieces,Single,,,,17261
F01 Corn,BEST PRICE SHOP,"KSh 1,600","KSh 1,650",12 pieces,Single,FLIP PHONES,CORN,,25634
F02 Corn,BEST PRICE SHOP,"KSh 1,700","KSh 1,750",0 pieces,Single,FLIP PHONES,CORN,,25635
F1 Oking,BEST PRICE SHOP,KSh 0,"KSh 1,100",4 pieces,Single,,,,17742
F2848,BEST PRICE SHOP,KSh 600,KSh 600,-1 pieces,Single,,,,27584
F400 Bontale.,BEST PRICE SHOP,KSh 900,KSh 950,0 pieces,Single,,,,18704
F8 Car Modulator.,BEST PRICE SHOP,KSh 400,KSh 450,0 pieces,Single,,,,18243
F9 Car Modulator,BEST PRICE SHOP,KSh 380,KSh 430,0 pieces,Single,,,,18245
F9 Refub Oppo{128+6},BEST PRICE SHOP,"KSh 12,000","KSh 12,500",8 pieces,Single,FEATURE PHONES,OPPO,,18637
F988 Dispense Vitrone,BEST PRICE SHOP,"KSh 3,800","KSh 4,300",7 pieces,Single,,VITRONE,,17916
Fan 1606 Stand Fan Ailyons.,BEST PRICE SHOP,"KSh 1,650","KSh 1,800",19 pieces,Single,,,,18295
Fan Nunix,BEST PRICE SHOP,KSh 0,"KSh 1,800",0 pieces,Single,,,,17853
Fan Sathiya 16 Inches,BEST PRICE SHOP,"KSh 1,770","KSh 2,000",16 pieces,Single,,,,17014
Fan YL,BEST PRICE SHOP,"KSh 1,936","KSh 2,100",4 pieces,Single,,,,17563
Fk- 0308 Kettle,BEST PRICE SHOP,KSh 820,KSh 900,191 pieces,Single,KETTLE,AILYONS,,25585
Flash Copy,BEST PRICE SHOP,KSh 0,KSh 200,0 pieces,Single,,,,17874
Flex Wire,BEST PRICE SHOP,KSh 190,KSh 250,13 pieces,Single,,,,17096
Fridge Vdr128Ds,BEST PRICE SHOP,"KSh 29,174","KSh 32,000",0 pieces,Single,,,,18057
Fridge VDR170DS Vitron,BEST PRICE SHOP,"KSh 35,032","KSh 39,000",1 pieces,Single,,,,18056
G10[64+4] Nokia,BEST PRICE SHOP,"KSh 13,000","KSh 13,200",0 pieces,Single,,,,17362
G120 Guava,BEST PRICE SHOP,KSh 840,KSh 870,0 pieces,Single,,,,16891
G121 Guava,BEST PRICE SHOP,KSh 810,KSh 850,0 pieces,Single,,,,18354
G13+ Radio,BEST PRICE SHOP,KSh 500,KSh 500,-2 pieces,Single,,,,25947
G17 Radio,BEST PRICE SHOP,KSh 0,KSh 550,-8 pieces,Single,,,,17953
G21{64+4} Nokia,BEST PRICE SHOP,"KSh 17,200","KSh 17,600",2 pieces,Single,,,,17944
G210 Guava.,BEST PRICE SHOP,KSh 810,KSh 850,0 pieces,Single,,,,18355
G2160  Glo.,BEST PRICE SHOP,KSh 720,KSh 750,1 pieces,Single,,,,18595
G2160+ Vifone,BEST PRICE SHOP,KSh 780,KSh 810,7 pieces,Single,FEATURE PHONES,VIFONE,,22069
G2173 Glo.,BEST PRICE SHOP,KSh 750,KSh 780,-19 pieces,Single,,,,18659
G310 Gamexy,BEST PRICE SHOP,KSh 700,KSh 750,0 pieces,Single,,,,17703
G312 Gamexy,BEST PRICE SHOP,KSh 700,KSh 750,0 pieces,Single,,,,17704
G330 Guava,BEST PRICE SHOP,KSh 760,KSh 790,0 pieces,Single,,,,16894
G333 Guava.,BEST PRICE SHOP,KSh 750,KSh 800,0 pieces,Single,,,,18237
G340 Guava.,BEST PRICE SHOP,KSh 750,KSh 800,0 pieces,Single,,,,18238
G343 Guava.,BEST PRICE SHOP,"KSh 1,020","KSh 1,050",0 pieces,Single,,,,17972
G350 Guava.,BEST PRICE SHOP,KSh 950,"KSh 1,000",0 pieces,Single,,,,18239
G460 Guava,BEST PRICE SHOP,KSh 730,KSh 760,0 pieces,Single,,,,16892
G5026 Glo.,BEST PRICE SHOP,KSh 720,KSh 750,0 pieces,Single,,,,18596
G528 Gotel,BEST PRICE SHOP,KSh 810,KSh 850,5 pieces,Single,FEATURE PHONES,GOTEL,,28083
G5500 Samhe.,BEST PRICE SHOP,KSh 800,KSh 840,-4 pieces,Single,,,,18686
G5510 Samhe.,BEST PRICE SHOP,KSh 800,KSh 840,-3 pieces,Single,FEATURE PHONES,SAMHE,,18179
G5520 Samhe.,BEST PRICE SHOP,KSh 820,KSh 870,0 pieces,Single,,,,18218
G5626 Gotel,BEST PRICE SHOP,"KSh 1,150","KSh 1,200",40 pieces,Single,FEATURE PHONES,GOTEL,,28082
G650 Guava,BEST PRICE SHOP,"KSh 1,000","KSh 1,050",0 pieces,Single,,,,16893
G8 Pro Max Smart Watch,BEST PRICE SHOP,"KSh 2,225","KSh 3,000",10 pieces,Single,,,,18520
G850 Guava.,BEST PRICE SHOP,"KSh 1,000","KSh 1,050",2 pieces,Single,,,,17971
Galactic Charger,BEST PRICE SHOP,KSh 220,KSh 300,248 pieces,Single,CHARGERS,GALACTIC,,17585
Game 1 Samhe.,BEST PRICE SHOP,KSh 950,"KSh 1,000",44 pieces,Single,FEATURE PHONES,SAMHE,,18727
Gamexy Mix,BEST PRICE SHOP,KSh 650,KSh 680,0 pieces,Single,,,,18660
Gas Burner,BEST PRICE SHOP,KSh 0,KSh 130,0 pieces,Single,,,,17354
Gas Burner Copy.,BEST PRICE SHOP,KSh 120,KSh 150,5 pieces,Single,,,,18065
Gas Burner Original,BEST PRICE SHOP,KSh 300,KSh 350,66 pieces,Single,,,,18064
Gas Burner Sathiya,BEST PRICE SHOP,"KSh 1,716","KSh 2,100",0 pieces,Single,,,,17841
Gas Burners Ailyons.,BEST PRICE SHOP,"KSh 1,552","KSh 1,800",0 pieces,Single,,,,18307
Gd1 Gdlight,BEST PRICE SHOP,"KSh 1,400","KSh 1,450",0 pieces,Single,,,,17318
Gd25,BEST PRICE SHOP,KSh 0,KSh 650,-2 pieces,Single,,,,17494
Geriot Blue,BEST PRICE SHOP,"KSh 1,300","KSh 1,400",1 pieces,Single,,,,17205
Geriot White Gek,BEST PRICE SHOP,"KSh 1,800","KSh 1,900",0 pieces,Single,,,,17204
Getop Battery,BEST PRICE SHOP,KSh 25,KSh 35,0 pieces,Single,,,,17566
GL-004 Gld Woofer,BEST PRICE SHOP,"KSh 6,300","KSh 6,600",0 pieces,Single,,,,18074
GLD 2302 Woofers,BEST PRICE SHOP,"KSh 11,500","KSh 11,900",4 pieces,Single,WOOFERS,GLD,,34446
Glo Phones,BEST PRICE SHOP,KSh 830,KSh 850,1 pieces,Single,,,,18208
Golden Tech,BEST PRICE SHOP,KSh 0,"KSh 4,700",0 pieces,Single,,,,17258
Golden Tech Gt2000,BEST PRICE SHOP,KSh 0,"KSh 3,750",2 pieces,Single,,,,17225
Goldy Woofer,BEST PRICE SHOP,KSh 0,"KSh 1,500",95 pieces,Single,,,,17476
Golone Rx177,BEST PRICE SHOP,KSh 850,KSh 900,2 pieces,Single,,,,16986
Goodplus Fast Charger,BEST PRICE SHOP,KSh 100,KSh 130,0 pieces,Single,,,,17001
Gotv Aerial,BEST PRICE SHOP,KSh 290,KSh 350,91 pieces,Single,SATELITE,,,16923
Gotv Decorder,BEST PRICE SHOP,"KSh 1,350","KSh 1,900",1 pieces,Single,SATELITE,DSTV,,16932
Gotv Remote,BEST PRICE SHOP,KSh 150,KSh 200,38 pieces,Single,,,,17221
Gr 020,BEST PRICE SHOP,KSh 300,KSh 350,14 pieces,Single,,,,17211
Green Heater,BEST PRICE SHOP,KSh 130,KSh 170,0 pieces,Single,,,,17334
Gs 014 Gas COOKER,BEST PRICE SHOP,"KSh 2,100","KSh 2,300",4 pieces,Single,,AILYONS,,29458
Gs 017 Gas Cooker Ailyons Metalic,BEST PRICE SHOP,"KSh 1,400","KSh 1,700",5 pieces,Single,,AILYONS,,29947
Gsh-7088B Light,BEST PRICE SHOP,KSh 0,KSh 350,29 pieces,Single,,,,17590
Gt2132 Gotel.,BEST PRICE SHOP,KSh 750,KSh 780,103 pieces,Single,FEATURE PHONES,GOTEL,,19062
Gt2173 Gotel,BEST PRICE SHOP,KSh 750,KSh 780,156 pieces,Single,FEATURE PHONES,,,19061
Gt5621 Samhe,BEST PRICE SHOP,KSh 890,KSh 930,0 pieces,Single,,,,18255
Gt5626 Samhe.,BEST PRICE SHOP,KSh 870,KSh 910,0 pieces,Single,,,,18267
Gt5627 Samhe,BEST PRICE SHOP,KSh 900,KSh 940,-21 pieces,Single,FEATURE PHONES,SAMHE,,22911
Gt5628 Samhe.,BEST PRICE SHOP,KSh 900,KSh 940,-9 pieces,Single,FEATURE PHONES,SAMHE,,22915
Guava G105,BEST PRICE SHOP,KSh 730,KSh 760,0 pieces,Single,,,,17266
Guava G200,BEST PRICE SHOP,KSh 750,KSh 800,0 pieces,Single,,,,17267
Guava G88,BEST PRICE SHOP,KSh 810,KSh 840,0 pieces,Single,,,,17268
Guest Metrine,BEST PRICE SHOP,KSh 0,KSh 0,1 pieces,Single,,,,17120
HainoTEKO Smart Watch.,BEST PRICE SHOP,"KSh 3,300","KSh 3,500",0 pieces,Single,,,,18248
Hair Dryer,BEST PRICE SHOP,"KSh 2,500","KSh 2,700",0 pieces,Single,,,,17938
Hd 198A-S Ailyons Iron Box,BEST PRICE SHOP,KSh 650,KSh 750,24 pieces,Single,IRON BOX,AILYONS,,19240
Hdmi 1.5,BEST PRICE SHOP,KSh 70,KSh 120,8 pieces,Single,,,,17187
Hdmi 10M,BEST PRICE SHOP,KSh 400,KSh 550,8 pieces,Single,,,,17878
Hdmi 3M,BEST PRICE SHOP,KSh 200,KSh 300,31 pieces,Single,,,,17194
Hdmi 5M,BEST PRICE SHOP,KSh 280,KSh 400,90 pieces,Single,,,,17377
Hdmi To Vga,BEST PRICE SHOP,KSh 0,KSh 300,3 pieces,Single,,,,17541
Hf-F1066 Radio,BEST PRICE SHOP,KSh 380,KSh 410,1 pieces,Single,,,,17892
Hisense 58 Vidaa,BEST PRICE SHOP,"KSh 54,000","KSh 60,000",0 pieces,Single,,,,17282
Hisense U40,BEST PRICE SHOP,KSh 0,"KSh 6,200",0 pieces,Single,,,,17005
Hisense U40Lite,BEST PRICE SHOP,"KSh 4,250","KSh 4,450",0 pieces,Single,,,,17029
Hisense U695,BEST PRICE SHOP,KSh 0,"KSh 3,700",0 pieces,Single,,,,17350
Hisonic 9914,BEST PRICE SHOP,KSh 0,"KSh 4,300",0 pieces,Single,,,,17172
Holders Hanging,BEST PRICE SHOP,KSh 20,KSh 30,0 pieces,Single,,,,18207
Honey Bontale,BEST PRICE SHOP,"KSh 1,700","KSh 1,750",0 pieces,Single,,,,18714
Hooks,BEST PRICE SHOP,KSh 40,KSh 50,26 pieces,Single,,,,24308
Hot11 Play Calus,BEST PRICE SHOP,"KSh 3,450","KSh 3,700",2 pieces,Single,,,,18438
Hot12 Play Calus.,BEST PRICE SHOP,"KSh 3,450","KSh 3,700",2 pieces,Single,,,,18439
Hot8000 Samhe,BEST PRICE SHOP,"KSh 1,400","KSh 1,450",2 pieces,Single,FEATURE PHONES,SAMHE,,22923
Hot9000 Samhe,BEST PRICE SHOP,"KSh 1,400","KSh 1,450",0 pieces,Single,FEATURE PHONES,SAMHE,,22921
Hp 820G4 8GB 256SSD Laptop,BEST PRICE SHOP,"KSh 23,500","KSh 25,000",0 pieces,Single,,,,18364
Hp 840g3 256+8 Laptop,BEST PRICE SHOP,"KSh 24,500","KSh 26,000",0 pieces,Single,,,,18530
Ht-001 Wall Bracket,BEST PRICE SHOP,KSh 350,KSh 500,0 pieces,Single,,,,17593
Ht-002 Wall Bracket,BEST PRICE SHOP,KSh 700,KSh 800,0 pieces,Single,,,,17592
I12 Pod,BEST PRICE SHOP,KSh 350,KSh 400,9 pieces,Single,ACCESSORIES,,,21730
I7s,BEST PRICE SHOP,KSh 320,KSh 400,23 pieces,Single,,,,17507
I9S Pod,BEST PRICE SHOP,KSh 500,KSh 550,2 pieces,Single,PODS,,,21731
Infinix/Tecno/Itel Chargers,BEST PRICE SHOP,KSh 95,KSh 120,-292 pieces,Single,CHARGERS,,,16948
IP 16Flip Calus,BEST PRICE SHOP,"KSh 2,250","KSh 2,300",53 pieces,Single,FEATURE PHONES,CALUS,,22926
Iphone 7X Uk.,BEST PRICE SHOP,"KSh 15,329","KSh 18,500",9 pieces,Single,,,,18542
Iron Box 199 Ailyons.,BEST PRICE SHOP,KSh 780,KSh 850,126 pieces,Single,,AILYONS,,18601
Iron Box Sathiya,BEST PRICE SHOP,KSh 719,KSh 800,0 pieces,Single,,,,16895
Iron Box Von,BEST PRICE SHOP,"KSh 1,300","KSh 1,400",0 pieces,Single,,,,18310
It 5010C,BEST PRICE SHOP,KSh 0,KSh 650,1 pieces,Single,,,,17614
It 5600C,BEST PRICE SHOP,KSh 0,KSh 750,10 pieces,Single,,,,17613
Itel A25Pro,BEST PRICE SHOP,"KSh 7,000","KSh 7,050",0 pieces,Single,,,,17227
Itel A56,BEST PRICE SHOP,"KSh 7,200","KSh 7,300",0 pieces,Single,,,,16945
Itel A56 Pro,BEST PRICE SHOP,"KSh 7,800","KSh 7,900",2 pieces,Single,,,,17274
Itel P37 Pro,BEST PRICE SHOP,"KSh 9,300","KSh 9,950",0 pieces,Single,,,,17328
Itel S16 Pro,BEST PRICE SHOP,KSh 0,"KSh 10,700",0 pieces,Single,,,,17294
Itel/Amazon/Samsung Chargers,BEST PRICE SHOP,KSh 100,KSh 130,30 pieces,Single,,,,17705
Iyou 8100,BEST PRICE SHOP,KSh 0,"KSh 1,500",4 pieces,Single,,,,17263
J2 Super Energy,BEST PRICE SHOP,KSh 0,KSh 450,0 pieces,Single,,,,17232
J3 Super Energy,BEST PRICE SHOP,KSh 400,KSh 450,0 pieces,Single,,,,17912
J5 Super Energy,BEST PRICE SHOP,KSh 350,KSh 400,6 pieces,Single,PHONE BATTERIES,SUPERENERGY,,29754
JBK Radio,BEST PRICE SHOP,KSh 0,KSh 450,-10 pieces,Single,,,,17510
Jbl Headphones,BEST PRICE SHOP,KSh 0,KSh 500,-3 pieces,Single,,,,17817
Jbl Pods,BEST PRICE SHOP,"KSh 1,200","KSh 1,400",-1 pieces,Single,,,,17834
Jbl Pods,BEST PRICE SHOP,KSh 500,KSh 550,-131 pieces,Single,PODS,,,21733
Jeta AERIAL,BEST PRICE SHOP,KSh 600,KSh 700,0 pieces,Single,,,,17063
Joc Radio.,BEST PRICE SHOP,KSh 390,KSh 420,1 pieces,Single,,,,18009
Joy 10 Mate Xtigi,BEST PRICE SHOP,"KSh 12,500","KSh 12,700",0 pieces,Single,,,,17307
Joy 8 Mate [1+32] Xtigi,BEST PRICE SHOP,"KSh 8,650","KSh 10,000",4 pieces,Single,,,,17306
K power Kgtel,BEST PRICE SHOP,"KSh 2,200","KSh 2,300",0 pieces,Single,FEATURE PHONES,KGTEL,,18223
K W50 Kgtel,BEST PRICE SHOP,KSh 960,"KSh 1,000",0 pieces,Single,,,,18107
K W60 Kgtel.,BEST PRICE SHOP,KSh 960,"KSh 1,000",0 pieces,Single,,,,18108
K-TWO Kgtel,BEST PRICE SHOP,KSh 0,"KSh 1,200",114 pieces,Single,,,,17610
K10 Kgtel,BEST PRICE SHOP,KSh 900,KSh 930,0 pieces,Single,,,,17446
K1000 Kgtel Kg1000,BEST PRICE SHOP,"KSh 1,150","KSh 1,200",26 pieces,Single,FEATURE PHONES,KGTEL,,16961
K103 Kgtel,BEST PRICE SHOP,KSh 750,KSh 780,1 pieces,Single,,,,17383
k110 N110 Kgtel,BEST PRICE SHOP,KSh 900,KSh 930,0 pieces,Single,,,,17788
K1100 Kgtel,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,,,,17072
K1110 Kgtel,BEST PRICE SHOP,KSh 810,KSh 840,5 pieces,Single,,,,17070
K1202 Kgtel,BEST PRICE SHOP,KSh 750,KSh 780,1 pieces,Single,,,,17251
K125 Kgtel,BEST PRICE SHOP,KSh 900,KSh 930,0 pieces,Single,,,,17340
K1280 Kgtel,BEST PRICE SHOP,KSh 810,KSh 840,0 pieces,Single,,,,17071
K15 Pro Kgtel,BEST PRICE SHOP,"KSh 2,450","KSh 2,500",0 pieces,Single,FEATURE PHONES,KGTEL,,24924
K150 Kgtel,BEST PRICE SHOP,KSh 900,KSh 930,0 pieces,Single,,,,17339
K1803 Kgtel,BEST PRICE SHOP,KSh 850,KSh 900,18 pieces,Single,,,,18328
K1806 Kgtel,BEST PRICE SHOP,KSh 820,KSh 930,4 pieces,Single,FEATURE PHONES,KGTEL,,21658
K1807 Kgtel,BEST PRICE SHOP,KSh 820,KSh 850,0 pieces,Single,FEATURE PHONES,KGTEL,,21659
K1808 Kgtel,BEST PRICE SHOP,KSh 820,KSh 880,8 pieces,Single,FEATURE PHONES,KGTEL,,21654
K1809 Kgtel,BEST PRICE SHOP,KSh 820,KSh 850,-1 pieces,Single,FEATURE PHONES,KGTEL,,21657
K2 Bontale.,BEST PRICE SHOP,KSh 950,KSh 980,0 pieces,Single,,,,18701
K20 Kgtel,BEST PRICE SHOP,KSh 850,KSh 930,1 pieces,Single,FEATURE PHONES,KGTEL,,16965
K2000 Bontale,BEST PRICE SHOP,"KSh 1,600","KSh 1,650",0 pieces,Single,,,,18087
K2000 Kgtel,BEST PRICE SHOP,KSh 0,"KSh 1,100",0 pieces,Single,FEATURE PHONES,KGTEL,,17575
K2090 Kgtel,BEST PRICE SHOP,KSh 760,KSh 800,0 pieces,Single,,,,17250
K2100 Kgtel Kg2100,BEST PRICE SHOP,"KSh 1,150","KSh 1,200",0 pieces,Single,,,,16962
K2130,BEST PRICE SHOP,KSh 800,KSh 900,0 pieces,Single,,,,17249
K2150 Kgtel,BEST PRICE SHOP,KSh 820,KSh 850,0 pieces,Single,,,,17248
K2160 Kgtel,BEST PRICE SHOP,KSh 860,KSh 930,0 pieces,Single,FEATURE PHONES,KGTEL,,17444
K2163 Kgtel,BEST PRICE SHOP,KSh 800,KSh 900,73 pieces,Single,FEATURE PHONES,KGTEL,,24627
K2171 Kgtel,BEST PRICE SHOP,KSh 850,KSh 930,23 pieces,Single,FEATURE PHONES,KGTEL,,17348
K2173 Kgtel,BEST PRICE SHOP,KSh 860,KSh 930,0 pieces,Single,FEATURE PHONES,KGTEL,,17445
k2175 Kgtel Kt2175,BEST PRICE SHOP,KSh 900,KSh 950,0 pieces,Single,,,,16963
K2180 Kgtel,BEST PRICE SHOP,KSh 760,KSh 800,0 pieces,Single,,,,17247
K2190 Kgtel,BEST PRICE SHOP,KSh 900,KSh 930,0 pieces,Single,,,,17246
K220 Kgtel Kn220,BEST PRICE SHOP,KSh 900,KSh 930,0 pieces,Single,,,,17338
K3 Bontale,BEST PRICE SHOP,KSh 950,KSh 980,0 pieces,Single,,,,18699
K3 Dispenser Nunix,BEST PRICE SHOP,"KSh 2,200","KSh 2,500",0 pieces,Single,,,,17871
K30 Bontale.,BEST PRICE SHOP,KSh 950,"KSh 1,000",0 pieces,Single,,,,18698
K30 Kgtel,BEST PRICE SHOP,KSh 900,KSh 930,0 pieces,Single,,,,17447
K301 Kgtel,BEST PRICE SHOP,KSh 820,KSh 850,0 pieces,Single,FEATURE PHONES,,,17241
K310 B310 Kgtel,BEST PRICE SHOP,KSh 860,KSh 900,5 pieces,Single,,,,17786
K3100 Kgtel,BEST PRICE SHOP,"KSh 1,150","KSh 1,200",4 pieces,Single,,,,18574
k313 Kgtel,BEST PRICE SHOP,KSh 850,KSh 900,0 pieces,Single,,,,17787
K3310 Kgtel,BEST PRICE SHOP,KSh 850,KSh 930,0 pieces,Single,,,,17341
K349 Kgtel,BEST PRICE SHOP,KSh 820,KSh 850,66 pieces,Single,,,,17242
K350 Kgtel,BEST PRICE SHOP,KSh 820,KSh 930,1 pieces,Single,,,,17244
K351 Kgtel,BEST PRICE SHOP,KSh 760,KSh 900,0 pieces,Single,,,,17243
K371 Kgtel,BEST PRICE SHOP,KSh 760,KSh 800,1 pieces,Single,,,,17245
K395 KG395,BEST PRICE SHOP,"KSh 1,400","KSh 1,450",0 pieces,Single,,,,17783
K40 Kgtel,BEST PRICE SHOP,KSh 850,KSh 900,0 pieces,Single,,,,17448
K401 Kgtel,BEST PRICE SHOP,KSh 760,KSh 800,0 pieces,Single,,,,17240
K454 Kgtel,BEST PRICE SHOP,KSh 760,KSh 800,0 pieces,Single,,,,17349
K465 Kgtel,BEST PRICE SHOP,KSh 0,KSh 950,0 pieces,Single,,,,17806
